year,state_name,county_name,country_code,commodity_desc,class_desc,unit_desc,freq_desc,group_desc,source_desc,sector_desc,commodity_desc,statisticcat_desc,begin_code,Value
2021,WEST VIRGINIA,,9000,CORN,ALL CLASSES,PCT EMERGED,WEEKLY,FIELD CROPS,SURVEY,CROPS,CORN,"PROGRESS, 5 YEAR AVG",18,7
2023,NORTH DAKOTA,,9000,CORN,ALL CLASSES,BU,ANNUAL,FIELD CROPS,SURVEY,CROPS,CORN,PRODUCTION,00,"516,120,000"
2023,NORTH DAKOTA,,9000,CORN,ALL CLASSES,PCT DOUGH,WEEKLY,FIELD CROPS,SURVEY,CROPS,CORN,"PROGRESS, PREVIOUS YEAR",28,0
2021,US TOTAL,,9000,CORN,ALL CLASSES,PCT FAIR,WEEKLY,FIELD CROPS,SURVEY,CROPS,CORN,"CONDITION, PREVIOUS YEAR",41,25
2021,NEW HAMPSHIRE,,9000,CORN,ALL CLASSES,PCT POOR,WEEKLY,FIELD CROPS,SURVEY,CROPS,CORN,"CONDITION, PREVIOUS YEAR",35,20
2023,NEBRASKA,,9000,CORN,ALL CLASSES,PCT FAIR,WEEKLY,FIELD CROPS,SURVEY,CROPS,CORN,"CONDITION, 5 YEAR AVG",35,21
2023,PENNSYLVANIA,,9000,CORN,ALL CLASSES,PCT GOOD,WEEKLY,FIELD CROPS,SURVEY,CROPS,CORN,CONDITION,33,63
2021,ARKANSAS,,9000,CORN,ALL CLASSES,PCT GOOD,WEEKLY,FIELD CROPS,SURVEY,CROPS,CORN,"CONDITION, 5 YEAR AVG",30,47
2021,INDIANA,WABASH,9000,CORN,ALL CLASSES,BU / ACRE,ANNUAL,FIELD CROPS,SURVEY,CROPS,CORN,YIELD,00,189
2022,MINNESOTA,,9000,CORN,ALL CLASSES,PCT POOR,WEEKLY,FIELD CROPS,SURVEY,CROPS,CORN,CONDITION,22,3
2020,COLORADO,,9000,CORN,ALL CLASSES,PCT PLANTED,WEEKLY,FIELD CROPS,SURVEY,CROPS,CORN,"PROGRESS, 5 YEAR AVG",23,94
2020,UTAH,,9000,CORN,ALL CLASSES,PCT POOR,WEEKLY,FIELD CROPS,SURVEY,CROPS,CORN,"CONDITION, 5 YEAR AVG",28,1
2022,OHIO,,9000,CORN,ALL CLASSES,PCT EXCELLENT,WEEKLY,FIELD CROPS,SURVEY,CROPS,CORN,"CONDITION, 5 YEAR AVG",33,13
2021,IOWA,,9000,CORN,ALL CLASSES,PCT VERY POOR,WEEKLY,FIELD CROPS,SURVEY,CROPS,CORN,"CONDITION, 5 YEAR AVG",41,4
2020,WASHINGTON,,9000,CORN,ALL CLASSES,PCT POOR,WEEKLY,FIELD CROPS,SURVEY,CROPS,CORN,"CONDITION, PREVIOUS YEAR",28,0
2020,MONTANA,,9000,CORN,ALL CLASSES,PCT VERY POOR,WEEKLY,FIELD CROPS,SURVEY,CROPS,CORN,"CONDITION, PREVIOUS YEAR",28,0
2023,COLORADO,,9000,CORN,ALL CLASSES,PCT DOUGH,WEEKLY,FIELD CROPS,SURVEY,CROPS,CORN,"PROGRESS, 5 YEAR AVG",29,4
2023,VERMONT,,9000,CORN,ALL CLASSES,PCT EXCELLENT,WEEKLY,FIELD CROPS,SURVEY,CROPS,CORN,"CONDITION, PREVIOUS YEAR",40,0
2023,NORTH CAROLINA,,9000,CORN,ALL CLASSES,PCT HARVESTED,WEEKLY,FIELD CROPS,SURVEY,CROPS,CORN,"PROGRESS, 5 YEAR AVG",39,93
2021,WASHINGTON,,9000,CORN,ALL CLASSES,PCT HARVESTED,WEEKLY,FIELD CROPS,SURVEY,CROPS,CORN,"PROGRESS, PREVIOUS YEAR",39,49
2022,MICHIGAN,,9000,CORN,ALL CLASSES,PCT EXCELLENT,WEEKLY,FIELD CROPS,SURVEY,CROPS,CORN,CONDITION,27,12
2020,NEBRASKA,,9000,CORN,ALL CLASSES,PCT MATURE,WEEKLY,FIELD CROPS,SURVEY,CROPS,CORN,PROGRESS,38,65
2021,GEORGIA,,9000,CORN,ALL CLASSES,PCT POOR,WEEKLY,FIELD CROPS,SURVEY,CROPS,CORN,"CONDITION, 5 YEAR AVG",28,5
2022,OKLAHOMA,,9000,CORN,ALL CLASSES,PCT VERY POOR,WEEKLY,FIELD CROPS,SURVEY,CROPS,CORN,CONDITION,29,5
2021,UTAH,,9000,CORN,ALL CLASSES,PCT POOR,WEEKLY,FIELD CROPS,SURVEY,CROPS,CORN,"CONDITION, 5 YEAR AVG",24,1
2022,TENNESSEE,,9000,CORN,ALL CLASSES,PCT HARVESTED,WEEKLY,FIELD CROPS,SURVEY,CROPS,CORN,"PROGRESS, 5 YEAR AVG",36,21
2023,OKLAHOMA,,9000,CORN,ALL CLASSES,PCT PLANTED,WEEKLY,FIELD CROPS,SURVEY,CROPS,CORN,"PROGRESS, 5 YEAR AVG",22,84
2021,LOUISIANA,,9000,CORN,ALL CLASSES,ACRES,ANNUAL,FIELD CROPS,SURVEY,CROPS,CORN,AREA HARVESTED,00,"565,000"
2020,MASSACHUSETTS,,9000,CORN,ALL CLASSES,PCT GOOD,WEEKLY,FIELD CROPS,SURVEY,CROPS,CORN,"CONDITION, PREVIOUS YEAR",37,60
2023,CONNECTICUT,,9000,CORN,ALL CLASSES,PCT POOR,WEEKLY,FIELD CROPS,SURVEY,CROPS,CORN,CONDITION,32,0
2023,WEST VIRGINIA,,9000,CORN,ALL CLASSES,PCT DOUGH,WEEKLY,FIELD CROPS,SURVEY,CROPS,CORN,"PROGRESS, PREVIOUS YEAR",31,5
2021,KENTUCKY,SHELBY,9000,CORN,ALL CLASSES,BU,ANNUAL,FIELD CROPS,SURVEY,CROPS,CORN,PRODUCTION,00,"3,500,000"
2021,OREGON,,9000,CORN,ALL CLASSES,PCT GOOD,WEEKLY,FIELD CROPS,SURVEY,CROPS,CORN,"CONDITION, PREVIOUS YEAR",33,62
2021,IOWA,BLACK HAWK,9000,CORN,ALL CLASSES,BU,ANNUAL,FIELD CROPS,SURVEY,CROPS,CORN,PRODUCTION,00,"26,562,000"
2022,MARYLAND,,9000,CORN,ALL CLASSES,PCT EXCELLENT,WEEKLY,FIELD CROPS,SURVEY,CROPS,CORN,"CONDITION, PREVIOUS YEAR",25,30
2020,ARKANSAS,,9000,CORN,ALL CLASSES,PCT EXCELLENT,WEEKLY,FIELD CROPS,SURVEY,CROPS,CORN,"CONDITION, 5 YEAR AVG",33,19
2020,SOUTH DAKOTA,,9000,CORN,ALL CLASSES,PCT EMERGED,WEEKLY,FIELD CROPS,SURVEY,CROPS,CORN,"PROGRESS, 5 YEAR AVG",22,61
2023,MISSISSIPPI,,9000,CORN,ALL CLASSES,PCT SILKING,WEEKLY,FIELD CROPS,SURVEY,CROPS,CORN,"PROGRESS, 5 YEAR AVG",21,3
2022,KANSAS,WOODSON,9000,CORN,ALL CLASSES,BU / ACRE,ANNUAL,FIELD CROPS,SURVEY,CROPS,CORN,YIELD,00,63.4
